time,value,delta
1666482355,92,91615
1666482356,92,91569
1666482360,92,91527
1666482367,92,91487
1666482387,100,91461
1666482393,100,91420
1666482409,92,91390
1666482410,92,91344
1666482451,92,91339
1666482452,92,91293
1666482476,92,91271
1666482494,73,91242
1666482495,73,91197
1666482496,73,91151
1666482567,88,91176
1666482568,88,91131
1666482573,88,91089
1666482580,88,91050
1666482603,92,91026
1666482604,92,90981
1666482647,92,90977
1666482785,88,91069
1666482817,88,91054
1666482927,57,91118
1666482928,57,91072
1666482987,57,91085
1666483075,92,91126
1666483080,92,91085
1666483084,92,91042
1666483087,92,90999
1666483112,76,90977
1666483114,76,90933
1666483150,96,90922
1666483151,100,90877
1666483156,100,90835
1666483224,73,90857
1666483225,73,90811
1666483326,73,90866
1666483331,46,90824
1666483332,46,90779
1666483496,46,90896
1666483513,57,90867
1666483612,69,90919
1666483614,69,90875
1666483645,76,90859
1666483666,76,90834
1666483675,76,90796
1666483686,80,90761
1666483729,80,90757
1666483730,80,90712
1666483733,80,90668
1666483742,80,90631
1666483775,88,90617
1666483777,88,90573
1666483832,76,90582
1666483833,76,90536
1666483837,76,90494
1666483864,84,90474
1666483894,100,90458
1666483921,100,90438
1666483922,100,90393
1666483925,100,90349
1666483956,92,90334
1666483958,92,90289
1666483995,80,90280
1666483997,80,90235
1666484007,80,90199
1666484025,96,90170
1666484027,96,90126
1666484047,96,90099
1666484056,100,90062
1666484058,100,90017
1666484062,100,89975
1666484070,100,89936
1666484072,100,89892
1666484083,100,89856
1666484084,100,89811
1666484085,100,89765
1666484113,100,89747
1666484115,100,89702
1666484128,76,89669
1666484130,76,89624
1666484138,76,89586
1666484142,76,89543
1666484177,76,89532
1666484193,92,89501
1666484194,92,89456
1666484209,92,89424
1666484211,88,89380
1666484241,88,89363
1666484246,88,89322
1666484267,88,89296
1666484268,88,89251
1666484271,88,89208
1666484301,96,89191
1666484327,96,89171
1666484328,96,89125
1666484331,96,89082
1666484347,96,89051
1666484361,96,89019
1666484391,96,89002
1666484421,92,88986
1666484435,92,88953
1666484449,92,88921
1666484450,92,88875
1666484451,92,88830
1666484481,92,88813
1666484483,92,88769
1666484485,92,88724
1666484511,92,88704
1666484517,92,88663
1666484542,92,88642
1666484572,96,88625
1666484602,92,88609
1666484632,92,88592
1666484662,92,88576
1666484687,92,88554
1666484692,92,88513
1666484722,92,88496
1666484752,92,88480
1666484782,92,88463
1666484812,92,88447
1666484842,92,88430
1666484857,92,88399
1666484872,92,88367
1666484885,92,88334
1666484929,69,88331
1666484931,69,88287
1666484947,69,88256
1666484959,65,88222
1666484960,65,88176
1666484990,65,88160
1666485021,65,88145
1666485028,65,88105
1666485051,65,88082
1666485081,65,88065
1666485111,65,88049
1666485141,65,88032
1666485171,80,88016
1666485198,80,87996
1666485201,80,87953
1666485231,73,87936
1666485261,73,87920
1666485291,73,87903
1666485321,76,87887
1666485351,76,87870
1666485368,76,87841
1666485381,73,87807
1666485411,76,87791
1666485430,84,87763
1666485439,84,87726
1666485445,84,87685
1666485487,100,87681
1666485489,100,87636
1666485504,100,87605
1666485517,100,87571
1666485519,100,87527
1666485538,100,87499
1666485540,88,87455
1666485543,88,87411
1666485555,88,87377
1666485557,88,87332
1666485618,80,87347
1666485619,80,87301
1666485637,80,87273
1666485638,80,87227
1666485643,80,87186
1666485645,80,87141
1666485648,84,87098
1666485650,84,87053
1666485676,76,87033
1666485677,76,86988
1666485680,76,86944
1666485685,76,86903
1666485689,76,86860
1666485696,76,86821
1666485701,76,86779
1666485702,76,86734
1666485708,76,86693
1666485712,80,86651
1666485714,80,86606
1666485724,80,86570
1666485740,80,86539
1666485753,80,86506
1666485755,80,86461
1666485760,80,86420
1666485761,80,86374
1666485764,80,86331
1666485765,80,86285
1666485785,80,86259
1666485788,80,86215
1666485789,80,86170
1666485815,80,86149
1666485845,80,86133
1666485875,88,86116
1666485877,88,86072
1666485905,88,86053
1666485935,88,86037
1666485965,88,86020
1666485995,88,86004
1666486025,88,85987
1666486047,88,85963
1666486055,88,85924
1666486083,88,85906
1666486084,88,85860
1666486085,88,85815
1666486115,84,85798
1666486145,84,85782
1666486175,84,85765
1666486205,80,85749
1666486218,80,85716
1666486235,80,85686
1666486265,80,85670
1666486295,80,85653
1666486325,80,85637
1666486355,80,85620
1666486385,80,85604
1666486388,80,85560
1666486415,80,85541
1666486445,80,85524
1666486475,80,85508
1666486505,80,85491
1666486535,84,85475
1666486558,84,85451
1666486565,84,85412
1666486595,84,85395
1666486625,84,85379
1666486655,84,85362
1666486685,84,85346
1666486715,84,85329
1666486728,84,85296
1666486745,84,85266
1666486775,88,85250
1666486805,88,85233
1666486835,88,85217
1666486865,88,85200
1666486895,88,85184
1666486898,88,85140
1666486925,76,85121
1666486955,80,85104
1666486985,80,85088
1666487015,80,85071
1666487045,80,85055
1666487068,80,85031
1666487075,80,84992
1666487105,80,84975
1666487135,84,84959
1666487165,80,84943
1666487195,80,84926
1666487225,80,84910
1666487238,80,84876
1666487255,80,84847
1666487285,80,84830
1666487315,80,84814
1666487345,76,84797
1666487375,76,84781
1666487405,76,84764
1666487408,76,84721
1666487436,76,84702
1666487466,76,84686
1666487495,76,84668
1666487526,76,84653
1666487556,80,84636
1666487579,80,84613
1666487586,80,84573
1666487616,84,84557
1666487646,84,84540
1666487676,80,84524
1666487706,84,84507
1666487736,84,84491
1666487749,84,84457
1666487766,80,84428
1666487796,84,84411
1666487826,84,84395
1666487856,84,84378
1666487886,84,84362
1666487916,84,84345
1666487919,84,84302
1666487937,80,84273
1666487945,80,84235
1666487973,76,84216
1666487976,76,84173
1666487981,76,84131
1666488006,76,84110
1666488034,76,84091
1666488036,76,84047
1666488066,76,84031
1666488089,76,84007
1666488096,73,83968
1666488126,73,83951
1666488156,73,83935
1666488187,73,83919
1666488217,76,83903
1666488236,76,83875
1666488259,76,83852
1666488261,76,83807
1666488262,76,83762
1666488263,76,83716
1666488283,76,83690
1666488284,76,83644
1666488302,84,83616
1666488311,84,83578
1666488313,84,83534
1666488314,84,83488
1666488323,84,83451
1666488355,76,83436
1666488356,76,83391
1666488365,76,83353
1666488367,76,83309
1666488388,76,83283
1666488396,76,83245
1666488397,76,83199
1666488401,76,83157
1666488403,76,83112
1666488423,76,83086
