generation_time,C.NTP.offset,Difference
1407240429112.0,-65610.0,3250.0
1407240429149.0,714.0,3266.0
1407240429158.0,-890.0,3254.0
1407240429175.0,6683.0,3251.0
1407240429184.0,50413.0,3239.0
1407240429212.0,-23434.0,3246.0
1407240429220.0,105.0,3234.0
1407240429251.0,1378.0,3244.0
1407240429300.0,-70798.0,3272.0
1407240429303.0,714.0,3254.0
1407240429314.0,1124.0,3245.0
1407240429323.0,-890.0,3233.0
1407240429357.0,-65610.0,3246.0
1407240429374.0,50413.0,3243.0
1407240429387.0,105.0,3235.0
1407240429432.0,-23434.0,3259.0
1407240429452.0,1378.0,3258.0
1407240429454.0,6683.0,3240.0
1407240429499.0,1124.0,3264.0
1407240429500.0,-70798.0,3244.0
1407240429517.0,714.0,3241.0
1407240429519.0,-65610.0,3222.0
1407240429574.0,-890.0,3256.0
1407240429590.0,50413.0,3251.0
1407240429627.0,105.0,3268.0
1407240429655.0,1378.0,3275.0
1407240429658.0,6683.0,3257.0
1407240429675.0,-23434.0,3254.0
1407240429687.0,-70798.0,3245.0
1407240429699.0,1124.0,3236.0
1407240429720.0,-65610.0,3236.0
1407240429749.0,-890.0,3245.0
1407240429774.0,714.0,3249.0
1407240429793.0,1378.0,3247.0
1407240429830.0,105.0,3264.0
1407240429852.0,6683.0,3265.0
1407240429855.0,50413.0,3247.0
1407240429905.0,-23434.0,3276.0
1407240429907.0,-70798.0,3258.0
1407240429908.0,1124.0,3238.0
1407240429950.0,714.0,3259.0
1407240429975.0,-65610.0,3264.0
1407240429977.0,50413.0,3245.0
1407240429996.0,-890.0,3243.0
1407240430011.0,6683.0,3238.0
1407240430017.0,105.0,3223.0
1407240430054.0,-23434.0,3239.0
1407240430099.0,-70798.0,3263.0
1407240430108.0,1378.0,3252.0
1407240430110.0,1124.0,3233.0
1407240430152.0,714.0,3254.0
1407240430175.0,50413.0,3257.0
1407240430183.0,-890.0,3244.0
1407240430203.0,-65610.0,3243.0
1407240430232.0,1378.0,3251.0
1407240430249.0,105.0,3248.0
1407240430271.0,6683.0,3249.0
1407240430279.0,1124.0,3236.0
1407240430289.0,-23434.0,3226.0
1407240430313.0,-70798.0,3229.0
1407240430317.0,714.0,3212.0
1407240430349.0,-65610.0,3223.0
1407240430386.0,-890.0,3240.0
1407240430404.0,1378.0,3237.0
1407240430432.0,50413.0,3244.0
1407240430454.0,6683.0,3246.0
1407240430456.0,105.0,3227.0
1407240430475.0,-23434.0,3225.0
1407240430501.0,1124.0,3230.0
1407240430516.0,-70798.0,3225.0
1407240430549.0,-65610.0,3237.0
1407240430574.0,714.0,3241.0
1407240430588.0,-890.0,3235.0
1407240430611.0,50413.0,3237.0
1407240430641.0,1378.0,3246.0
1407240430654.0,6683.0,3238.0
